OVERLAYS
    ">Saving","> Zapis"
    ">Checking for updates",">Aktualizacje"


BUTTONS
    "> Settings","> Ustawienia"


MENU ITEMS
    ">Current page",">Bieżąca strona"
    ">Menu",">Menu"
    ">Files",">Pliki"
    ">Themes",">Motywy"
    ">Plugins",">Wtyczki"
    ">Security",">Bezpieczeństwo"


CURRENT PAGE
    ">Page title",">Tytuł strony"
    ">Page keywords",">Słowa kluczowe"
    ">Page description",">Opis"
    "> Delete page","> Usuń stronę"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Usuń $1?')"


MENU
    ">Website title","> Tytuł witryny"
    ">Page to display on homepage","> Strona do wyświetlenia na stronie głównej"
    ">visit",">Podgląd"
    "> Add page","> Dodaj stronę"


FILES
    ">Upload","> Prześlij"
    ">Delete files","> Usuń pliki"


THEMES AND PLUGINS
    "> Check for updates","> Sprawdź aktualizacje"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Usuń $1?')"
    ">Active",">Aktywny"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Aktywuj $1?')"
    "> Activate","> Aktywuj"
    "> More info","> Informacje"
    "> Install","> Instaluj"
    ">Installed version:",">Zainstalowana wersja:"
    ">Custom repository",">Własne repozytorium"
    "Enter URL to custom repository","Wpisz adres URL wlasnego repozytorium"
    "> Add", "> Dodaj"
    "> Read more about custom repositories",">Więcej o własnych repozytoriach"


SECURITY
    ">Admin login URL","> Adres URL logowania administratora"
    ">Save your login URL to log in to your website next time:",">Zapisz swój adres URL logowania, aby następnym razem zalogować się do witryny"
    ">Password",">Hasło"
    "Old password","Stare hasło"
    "New password","Nowe hasło"
    "> Change password","> Zmień hasło"

    "> How to restore backup","> Jak przywrócić kopię zapasową"
    ">Improved security \(Apache only\)",">Ulepszone bezpieczeństwo \(tylko Apache\)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Przekierowanie HTTPS, 30-dniowe buforowanie, ramki iframe dozwolone tylko z tego samego źródła, zapobieganie podsłuchiwaniu typu MIME, bardziej rygorystyczne zasady dotyczące plików cookie i odsyłaczy."
    ">ON \(warning: may break your website\)",">Włącz \(Ostrzeżenie: może uszkodzić twoją witrynę\)"
    ">OFF \(reset htaccess to default\)",">Wyłącz \(przywróć domyślny htaccess\)"
    "> Read more before enabling","> Przeczytaj więcej przed włączeniem"
    ">Backup","> Kopia zapasowa witryny"
    "> Backup website","> Kopia zapasowa"
    ">Last 5 logins",">Ostatnie 5 logowań"


STATISTICS
    ">Statistics",">Statystyki"
    ">Today",">Dziś"
    ">This week",">Ten tydzień"
    ">Most popular page",">Najpopularniejsza strona"
    ">Pageviews last two weeks",">Odsłony z ostatnich dwóch tygodni"
    ">Sessions last two weeks",">Sesje z ostatnich dwóch tygodni"
    ">Sessions",">Sesje"
    ">Pageviews",">Odsłony"


FOOTER
    ">News",">Nowości"
    ">Community",">Społeczność"
    ">Docs",">Dokumentacja"
    ">Donate",">Wspieraj"
    ">Shop\/Merch",">Sklep"
